timestamp,app,duration_seconds,source
2026-03-15 11:30:50.839749,Home Screen,5,phone
2026-03-15 11:30:55.371482,C:\Windows\System32\cmd.exe - python  tracker.py,5,pc
2026-03-15 11:30:55.949691,Home Screen,5,phone
2026-03-15 11:31:00.373048,C:\Windows\System32\cmd.exe - python  app.py,5,pc
2026-03-15 11:31:01.043347,Home Screen,5,phone
2026-03-15 11:31:05.374958,C:\Windows\System32\cmd.exe - npm  run dev,5,pc
2026-03-15 11:31:06.197386,Home Screen,5,phone
2026-03-15 11:31:10.377539,C:\WINDOWS\system32\cmd.exe ,5,pc
2026-03-15 11:31:11.335153,Home Screen,5,phone
2026-03-15 11:31:15.379578,weal - Google Chrome,5,pc
2026-03-15 11:31:16.531956,Home Screen,5,phone
2026-03-15 11:31:20.381301,weal - Google Chrome,5,pc
2026-03-15 11:31:21.639582,Home Screen,5,phone
2026-03-15 11:31:25.384242,weal - Google Chrome,5,pc
2026-03-15 11:31:26.741544,Home Screen,5,phone
2026-03-15 11:31:30.385929,weal - Google Chrome,5,pc
2026-03-15 11:31:31.869308,Home Screen,5,phone
2026-03-15 11:31:35.387993,weal - Google Chrome,5,pc
2026-03-15 11:31:36.967409,Home Screen,5,phone
2026-03-15 11:31:40.389066,weal - Google Chrome,5,pc
2026-03-15 11:31:42.071566,Home Screen,5,phone
2026-03-15 11:31:45.390219,weal - Google Chrome,5,pc
2026-03-15 11:31:47.173796,Home Screen,5,phone
2026-03-15 11:31:50.391636,weal - Google Chrome,5,pc
2026-03-15 11:31:52.278603,Home Screen,5,phone
2026-03-15 11:31:55.393433,weal - Google Chrome,5,pc
2026-03-15 11:31:57.383297,Home Screen,5,phone
2026-03-15 11:32:00.410880,weal - Google Chrome,5,pc
2026-03-15 11:32:02.468794,Home Screen,5,phone
2026-03-15 11:32:05.412202,weal - Google Chrome,5,pc
2026-03-15 11:32:07.574900,Home Screen,5,phone
2026-03-15 11:32:10.413537,weal - Google Chrome,5,pc
2026-03-15 11:32:12.678547,Home Screen,5,phone
2026-03-15 11:32:15.414939,weal - Google Chrome,5,pc
2026-03-15 11:32:17.783539,Home Screen,5,phone
2026-03-15 11:32:20.416272,WhatsApp - Google Chrome,5,pc
2026-03-15 11:32:22.886637,Home Screen,5,phone
2026-03-15 11:32:25.417921,Open,5,pc
2026-03-15 11:32:27.988621,Home Screen,5,phone
2026-03-15 11:32:30.419864,Open,5,pc
